code,common name,botanical name
LLTRMK,japanese tree lilac 'miss kim',Syringa pubescens subsp. patula 'Miss Kim'
LLTROO,japanese tree lilac,Syringa reticulata
LLTRPR,lilac 'preston',Syringa 'Preston'
LLTTKO,korean lilac,Syringa meyeri
LOBLOO,black locust,Robinia pseudoacacia
LOBLRO,black locust 'purple robe',Robinia pseudoacacia 'Purple Robe'
LOHOOO,honey locust,Gleditsia triacanthos
LOHORL,honey locust 'ruby lace',Gleditsia triacanthos 'Ruby Lace'
LOHOSB,honey locust 'sunburst',Gleditsia triacanthos 'Sunburst'
LOHOSH,honey locust 'shademaster',Gleditsia triacanthos 'Shademaster'
LOHOSK,honey locust 'skyline',Gleditsia triacanthos 'Skyline'
LOHOST,honey locust 'draves',Gleditsia triacanthos 'Draves'
MAAMOO,amur maple,Acer ginnala
MABIOO,bigleaf maple,Acer macrophyllum
MABLOO,black maple,Acer nigrum
MAHECA,hedge maple,Acer campestre
MAJAOO,japanese maple,Acer palmatum
MAMAOO,manitoba maple,Acer negundo
MANOCK,norway maple 'crimson king',Acer platanoides 'Crimson King'
MANOCL,norway maple 'cleveland',Acer platanoides 'Cleveland'
MANOCO,norway maple columnar ,Acer platanoides 'columnar'
MANODE,norway maple 'deborah',Acer platanoides 'Deborah'
MANOEQ,norway maple 'emerald queen',Acer platanoides 'Emerald Queen'
MANOGL,norway maple 'globe',Acer platanoides 'Globe'
MANOHA,norway maple 'harlequin',Acer platanoides 'Harlequin'
MANOOO,norway maple,Acer platanoides
MANORR,norway maple 'royal red',Acer platanoides 'Royal Red'
MANOSC,norway maple 'schwedler',Acer platanoides 'Schwedler'
MANOSF,norway maple 'superform',Acer platanoides 'Superform'
MANSCK,norway maple 'sentry crimson' ,Acer platanoides 'Sentry Crimson'
MANXSU,norwegian sunset maple,Acer × Norwegian Sunset
MANXTA,tartarian maple,Acer tataricum
MAOOOO,maple spp.,Acer spp.
MAPAOO,paperbark maple,Acer griseum
MAREAR,red maple armstrong columnar ,Acer rubrum 'Armstrong'
MARECO,red maple columnar ,Acer rubrum
MAREKA,red maple 'karpick',Acer rubrum 'Karpick'
MAREOG,red maple 'october glory',Acer rubrum 'October Glory'
MAREOO,red maple,Acer rubrum
MARERP,red maple 'redpointe',Acer rubrum 'Redpointe'
MASIOO,silver maple,Acer saccharinum
MASISQ,silver maple 'queen',Acer saccharinum 'Queen'
MASUCO,sugar maple columnar,Acer saccharum
MASULE,sugar maple 'legacy',Acer saccharum 'Legacy'
MASUOO,sugar maple,Acer saccharum
MASYOO,sycamore maple,Acer pseudoplatanus
MAXFAB,freeman maple 'autumn blaze',Acer × freemanii 'Autumn Blaze'
MAXFCE,freeman maple 'celebration red',Acer × freemanii 'Celebration Red'
MAXFMA,freeman maple 'marmo',Acer × freemanii 'Marmo'
MGSAOO,saucer magnolia,Magnolia × soulangiana
MGSTOO,star magnolia,Magnolia stellata
MOAMOO,american mountain ash,Sorbus americana
MOASPY,european mountain ash pyramidal ,Sorbus aucuparia
MOEUOO,european mountain ash,Sorbus aucuparia
MOTHFA,oakleaf mountain ash,Sorbus hybrida
MUMOOO,mulberry mophead ,Morus spp.
MUOOOO,mulberry spp.,Morus rubra
MUREOO,red mulberry,Morus alba
MUWHOO,white mulberry,Morus alba 'Pendula'
MUWHUR,white mulberry 'pendula',Viburnum lentago
NAOOOO,nannyberry,Quercus velutina
OABLOO,black oak,Quercus macrocarpa
OABUOO,bur oak,Quercus muehlenbergii
OACHIN,chinquapin oak,Quercus montana
OACHOO,chestnut oak,Quercus robur 'Columnar'
OAENCO,english oak 'columnar',Quercus robur 'Fastigiata'
OAENFA,english oak 'fastigiata',Quercus robur
OAENOO,english oak,Quercus spp.
OAOOOO,oak spp.,Quercus palustris
OAPIOO,pin oak,Quercus rubra
OAREOO,red oak,Quercus coccinea
OASCOO,scarlet oak,Quercus imbricaria
OASHOO,shingle oak,Quercus shumardii
